registered_pct,user_count,ramp,scenario,http_req_duration_avg,http_req_duration_p90,http_req_duration_p95,login_duration_avg,login_duration_p90,login_duration_p95,play_duration_avg,play_duration_p90,play_duration_p95,iteration_duration_avg,http_req_failed_value,checks_passes,checks_fails,vus_max,filename
0,10,False,full,54.13269316406252,66.32197000000002,73.87622999999999,54.158034765625004,65.8794,73.178325,54.10735156249998,66.15065,74.39427500000001,1111.1367867187507,0.0,512,0,10,result_0_percent_registered_users10_rampfalse_full.json
0,10,False,login,56.031653731343276,69.49725000000001,75.83656999999997,56.031653731343276,69.49725000000001,75.83656999999997,,,,1058.6012138059698,0.0,268,0,10,result_0_percent_registered_users10_rampfalse_login.json
0,10,True,full,71.54831507936501,71.7176,79.70651499999995,64.11258603174602,73.23622,82.05541000000007,78.9840441269841,70.63164000000002,76.88555000000001,1145.5918409523817,0.0,630,0,10,result_0_percent_registered_users10_ramptrue_full.json
0,10,True,login,72.38802142857138,72.01955,78.428175,72.38802142857138,72.01955,78.428175,,,,1074.5931157738087,0.0,336,0,10,result_0_percent_registered_users10_ramptrue_login.json
0,25,False,full,71.37458824959468,64.31859,73.49188499999998,76.15199351701779,63.73715999999999,71.80361999999985,66.59718298217186,65.036,73.48831999999999,1145.6263144246348,0.0,1234,0,25,result_0_percent_registered_users25_rampfalse_full.json
0,25,False,login,84.6748859327217,64.97370000000001,76.49097,84.6748859327217,64.97370000000001,76.49097,,,,1087.36573180428,0.0,654,0,25,result_0_percent_registered_users25_rampfalse_login.json
0,25,True,full,70.04124512958,65.0923,72.79109500000003,70.54016496872211,65.87028000000001,73.47206,69.54232529043779,64.51204,71.67351000000001,1141.9734579982141,0.0,2238,0,25,result_0_percent_registered_users25_ramptrue_full.json
0,25,True,login,87.63827164948465,68.11308000000001,77.07048499999999,87.63827164948465,68.11308000000001,77.07048499999999,,,,1089.3913173539506,0.0,1164,0,25,result_0_percent_registered_users25_ramptrue_login.json
0,35,False,full,54.595931376975116,67.59422,73.85551499999997,54.6222706546275,67.61445,74.0601,54.569592099322776,67.34785,73.7414,1111.9337471783294,0.0,1772,0,35,result_0_percent_registered_users35_rampfalse_full.json
0,35,False,login,96.62812528216715,69.09065000000001,78.512175,96.62812528216715,69.09065000000001,78.512175,,,,1099.2994562076751,0.0,886,0,35,result_0_percent_registered_users35_rampfalse_login.json
0,35,True,full,74.8631285054349,65.80341999999999,76.44033499999999,74.04039570652174,66.09190000000001,78.291125,75.68586130434788,65.14824000000002,75.64519499999999,1151.401233858697,0.0,3680,0,35,result_0_percent_registered_users35_ramptrue_full.json
0,35,True,login,64.88302796184733,64.45157,71.80698499999995,64.88302796184733,64.45157,71.80698499999995,,,,1066.4313269578317,0.0,1992,0,35,result_0_percent_registered_users35_ramptrue_login.json
0,50,False,full,54.66083412322281,64.67160000000001,71.60299499999999,54.88803364928908,65.43025,71.73049999999999,54.43363459715634,64.1528,70.6482,1112.1532356240132,0.0,2532,0,50,result_0_percent_registered_users50_rampfalse_full.json
0,50,False,login,60.731054607250734,65.17436,72.58895999999999,60.731054607250734,65.17436,72.58895999999999,,,,1063.3201921450157,0.0,1324,0,50,result_0_percent_registered_users50_rampfalse_login.json
0,50,True,full,62.529750684931464,65.6118,73.31299999999999,67.49726491959514,66.10655000000001,74.61780499999995,57.56223645026808,65.05139,72.27680999999997,1126.5391515783192,0.0001488981536628946,6715,1,50,result_0_percent_registered_users50_ramptrue_full.json
0,50,True,login,94.54856025492467,67.09582,74.62169999999996,94.54856025492467,67.09582,74.62169999999996,,,,1095.8839677867898,0.0005793742757821553,3450,2,50,result_0_percent_registered_users50_ramptrue_login.json
100,10,False,full,54.213250775193714,66.8977,73.614075,53.998030620155,66.48362,71.69012999999998,54.42847093023258,67.51594999999999,74.93569499999995,1111.300318992248,0.0,516,0,10,result_100_percent_registered_users10_rampfalse_full.json
